Date,RPi version,Round,Colony,RPi,Experiment,Treatment,Tube,Flipped_tube,Solution,Start,End,Change,Survival,Recording,Remained_escaped,Start_t,Stop_t,Model,Additional_notes,Exclude
13/05/2026,4,8,MY4,10,Amygdalin,0.5mM,R,L,S,3.3581,3.174,0.1841,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,5,9,MY1,11,Amygdalin,5mM,L,R,S,3.2686,3.2207,0.0479,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,11,Amygdalin,5mM,R,L,5mM,3.3546,3.2951,0.0595,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,12,Amygdalin,2.5mM,L,R,2.5mM,3.2625,3.1568,0.1057,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,12,Amygdalin,2.5mM,R,L,S,3.3172,3.2738,0.0434,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,13,Amygdalin,0.5mM,L,R,S,3.2603,3.2428,0.0175,1,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,13,Amygdalin,0.5mM,R,L,0.5mM,3.3677,3.1846,0.1831,1,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,14,Amygdalin,0.1mM,L,R,S,3.3081,3.1055,0.2026,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,14,Amygdalin,0.1mM,R,L,0.1mM,3.1701,3.2404,0.0703,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,15,Amygdalin,Control,L,R,S,3.2197,3.1295,0.0902,1,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,15,Amygdalin,Control,R,L,S,3.1934,3.1513,0.0421,1,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,16,Amygdalin,0.1mM,L,R,S,3.2905,3.2234,0.0671,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,16,Amygdalin,0.1mM,R,L,0.1mM,3.2126,3.1439,0.0687,0,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,17,Amygdalin,5mM,L,R,5mM,3.3422,3.2401,0.1021,1,1,0,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,17,Amygdalin,5mM,R,L,S,3.1836,3.13,0.0536,1,1,0,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,18,Amygdalin,0.5mM,L,R,0.5mM,3.2462,3.0538,0.1924,1,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,18,Amygdalin,0.5mM,R,L,S,3.2389,3.1727,0.0662,1,1,1,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,19,Amygdalin,2.5mM,L,R,S,NA,NA,NA,NA,0,NA,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,19,Amygdalin,2.5mM,R,L,2.5mM,NA,NA,NA,NA,0,NA,14:45,14:48,YOLO_tubes,,
13/05/2026,5,9,MY1,20,Amygdalin,Control,L,R,S,3.2465,3.1938,0.0527,0,1,1,14:45,14:48,YOLO_tubes,,
